iter	Passed	Remaining
0	0	96
1	1	87
2	2	84
3	3	79
4	4	78
5	4	77
6	5	77
7	6	76
8	7	75
9	8	75
10	9	76
11	10	74
12	10	73
13	11	73
14	12	72
15	13	71
16	14	71
17	15	70
18	16	69
19	17	68
20	18	67
21	18	66
22	19	66
23	20	65
24	21	65
25	22	64
26	23	62
27	23	61
28	24	60
29	25	58
30	25	57
31	26	56
32	27	55
33	27	53
34	28	52
35	29	51
36	29	50
37	30	49
38	31	49
39	32	48
40	32	47
41	33	46
42	34	45
43	35	45
44	36	44
45	37	43
46	37	42
47	38	41
48	39	40
49	39	39
50	40	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	45	30
60	46	29
61	46	28
62	47	28
63	48	27
64	49	26
65	50	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	56	20
73	57	20
74	57	19
75	58	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	70	6
91	71	6
92	71	5
93	72	4
94	73	3
95	73	3
96	74	2
97	75	1
98	76	0
99	76	0
