iter	Passed	Remaining
0	1	999
1	1	903
2	2	861
3	3	835
4	4	820
5	4	809
6	5	798
7	6	800
8	7	806
9	8	802
10	8	802
11	9	801
12	10	800
13	11	798
14	12	799
15	12	796
16	13	794
17	14	795
18	15	793
19	16	792
20	17	793
21	17	793
22	18	790
23	19	787
24	20	785
25	20	785
26	21	783
27	22	781
28	23	781
29	24	781
30	24	779
31	25	778
32	26	776
33	27	776
34	28	775
35	28	775
36	29	773
37	30	772
38	31	771
39	32	770
40	32	769
41	33	768
42	34	767
43	35	767
44	36	766
45	36	764
46	37	764
47	38	764
48	39	764
49	40	762
50	40	761
51	41	761
52	42	761
53	43	761
54	44	760
55	45	759
56	45	759
57	46	757
58	47	756
59	48	756
60	49	754
61	49	754
62	50	752
63	51	751
64	52	750
65	52	749
66	53	749
67	54	747
68	55	746
69	56	745
70	56	744
71	57	743
72	58	742
73	59	739
74	59	737
75	60	736
76	61	734
77	62	732
78	62	731
79	63	729
80	64	728
81	65	728
82	65	723
83	66	723
84	67	722
85	67	720
86	68	718
87	69	718
88	70	717
89	70	716
90	71	715
91	72	714
92	73	713
93	73	712
94	74	711
95	75	711
96	76	710
97	77	709
98	77	708
99	78	707
100	79	706
101	80	704
102	80	704
103	81	703
104	82	702
105	83	701
106	83	699
107	84	699
108	85	698
109	86	697
110	86	696
111	87	695
112	88	693
113	89	692
114	89	691
115	90	689
116	91	687
117	91	686
118	92	685
119	93	684
120	94	683
121	94	680
122	95	680
123	96	679
124	96	678
125	97	677
126	98	675
127	99	674
128	100	678
129	101	677
130	102	677
131	102	676
132	103	676
133	104	676
134	105	675
135	106	674
136	106	673
137	107	673
138	108	672
139	109	672
140	110	671
141	110	668
142	111	668
143	112	667
144	112	666
145	113	665
146	114	665
147	115	664
148	116	663
149	116	662
150	117	660
151	118	659
152	118	658
153	119	657
154	120	655
155	121	655
156	121	654
157	122	653
158	123	652
159	124	651
160	124	648
161	125	647
162	125	646
163	126	644
164	127	643
165	128	647
166	129	646
167	130	645
168	131	644
169	131	643
170	132	641
171	133	640
172	133	640
173	135	641
174	136	642
175	137	645
176	138	645
177	139	645
178	140	644
179	141	643
180	142	642
181	142	641
182	143	640
183	144	639
184	144	638
185	145	637
186	146	636
187	147	635
188	147	634
189	148	633
190	149	632
191	150	632
192	150	631
193	151	630
194	152	629
195	153	628
196	153	627
197	154	626
198	155	625
199	156	624
200	156	624
201	157	623
202	158	622
203	159	621
204	160	620
205	160	620
206	161	619
207	162	618
208	163	617
209	163	616
210	164	615
211	165	614
212	166	613
213	166	612
214	167	611
215	168	610
216	169	609
217	169	609
218	170	608
219	171	607
220	172	606
221	172	605
222	173	604
223	174	603
224	175	603
225	175	602
226	176	601
227	177	600
228	178	599
229	178	598
230	179	597
231	180	596
232	181	595
233	181	595
234	182	594
235	183	593
236	184	592
237	184	592
238	185	591
239	186	590
240	187	589
241	187	588
242	188	587
243	189	586
244	190	586
245	190	585
246	191	584
247	192	583
248	193	582
249	193	581
250	194	581
251	195	580
252	196	579
253	196	578
254	197	577
255	198	576
256	199	575
257	199	575
258	200	574
259	201	573
260	202	572
261	203	572
262	203	571
263	204	570
264	205	569
265	206	568
266	206	568
267	207	567
268	208	566
269	209	565
270	209	564
271	210	563
272	211	562
273	212	561
274	212	560
275	213	559
276	214	559
277	214	558
278	215	557
279	216	556
280	217	556
281	218	555
282	218	554
283	219	553
284	220	552
285	220	551
286	221	550
287	222	550
288	223	549
289	224	548
290	224	547
291	225	547
292	226	546
293	227	545
294	227	544
295	228	543
296	229	543
297	230	542
298	231	541
299	231	540
300	232	539
301	233	539
302	234	538
303	234	537
304	235	536
305	236	535
306	236	534
307	237	534
308	238	533
309	239	532
310	239	531
311	240	530
312	241	529
313	242	528
314	242	527
315	243	526
316	244	526
317	245	525
318	245	524
319	246	523
320	247	523
321	248	522
322	248	521
323	249	520
324	250	519
325	250	518
326	251	517
327	252	516
328	253	516
329	253	515
330	254	514
331	255	513
332	255	512
333	256	511
334	257	510
335	257	509
336	258	508
337	259	508
338	260	507
339	260	506
340	261	505
341	262	504
342	262	503
343	263	502
344	264	501
345	265	501
346	265	500
347	266	499
348	267	498
349	267	497
350	268	496
351	269	495
352	270	494
353	270	493
354	271	493
355	272	492
356	272	491
357	273	490
358	274	490
359	275	489
360	275	488
361	276	487
362	277	486
363	278	485
364	278	485
365	279	484
366	280	483
367	280	482
368	281	481
369	282	480
370	283	480
371	283	479
372	284	478
373	285	477
374	286	477
375	287	476
376	287	475
377	288	474
378	289	473
379	289	473
380	290	472
381	291	471
382	292	470
383	292	469
384	293	468
385	294	467
386	294	466
387	295	466
388	296	465
389	296	464
390	297	463
391	298	462
392	299	461
393	299	461
394	300	460
395	301	459
396	301	458
397	302	457
398	303	456
399	304	456
400	304	455
401	305	454
402	306	453
403	306	452
404	307	451
405	308	451
406	309	450
407	309	449
408	310	448
409	311	447
410	312	447
411	312	446
412	313	445
413	314	444
414	315	444
415	315	443
416	316	442
417	317	441
418	317	440
419	318	440
420	319	439
421	320	438
422	320	437
423	321	436
424	322	436
425	323	435
426	323	434
427	324	433
428	325	432
429	325	431
430	326	431
431	327	430
432	328	429
433	328	428
434	329	427
435	330	427
436	330	426
437	331	425
438	332	424
439	333	423
440	333	423
441	334	422
442	335	421
443	336	420
444	336	420
445	337	419
446	338	418
447	338	417
448	339	416
449	340	415
450	341	415
451	341	414
452	342	413
453	343	412
454	343	411
455	344	411
456	345	410
457	346	409
458	346	408
459	347	407
460	348	407
461	348	406
462	349	405
463	350	404
464	350	403
465	351	402
466	352	402
467	353	401
468	353	400
469	354	399
470	355	399
471	356	398
472	356	397
473	357	396
474	358	395
475	358	395
476	359	394
477	360	393
478	361	392
479	361	392
480	362	391
481	363	390
482	364	389
483	364	388
484	365	388
485	366	387
486	367	386
487	367	385
488	368	385
489	369	384
490	370	383
491	370	382
492	371	382
493	372	381
494	373	380
495	373	379
496	374	379
497	375	378
498	376	377
499	376	376
500	377	376
501	378	375
502	378	374
503	379	373
504	380	372
505	381	372
506	381	371
507	382	370
508	383	369
509	384	369
510	384	368
511	385	367
512	386	366
513	387	366
514	387	365
515	388	364
516	389	363
517	390	363
518	390	362
519	391	361
520	392	360
521	393	360
522	393	359
523	394	358
524	395	357
525	396	356
526	396	356
527	397	355
528	398	354
529	398	353
530	399	352
531	400	352
532	401	351
533	401	350
534	402	349
535	403	349
536	404	348
537	405	347
538	405	347
539	406	346
540	407	345
541	408	344
542	408	344
543	409	343
544	410	342
545	411	341
546	411	340
547	412	340
548	413	339
549	413	338
550	414	337
551	415	337
552	416	336
553	416	335
554	417	334
555	418	334
556	419	333
557	419	332
558	420	331
559	421	331
560	422	330
561	422	329
562	423	328
563	424	327
564	424	326
565	425	326
566	426	325
567	426	324
568	427	323
569	428	322
570	428	322
571	429	321
572	430	320
